track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_length
72FNf7DAlWLmuHiLTBcNHY,0.715,0.715,5,-7.364,1,0.0904,0.0526,0.0,0.0936,0.506,134.923,4,238.747
6ZFbXIJkuI1dVNWvzJzown,0.286,0.0968,7,-16.806,1,0.0323,0.178,0.696,0.0861,0.0395,62.881,4,275.556
15WRWc3qqlyAzTne9q5tQK,0.33,0.229,9,-16.442,0,0.0375,0.948,0.973,0.0998,0.0593,96.158,4,126.96
2kDBZhuazsPJYUXFUHUnJY,0.132,0.0176,9,-27.762,0,0.0362,0.927,0.964,0.0729,0.0624,95.979,3,199.423
11IXRdEjiH0KL8nh4G1j7d,0.328,0.219,9,-18.595,1,0.0337,0.579,0.0991,0.104,0.0387,138.022,4,254.293
1yzSSn5Sj1azuo7RgwvDb3,0.265,0.226,9,-20.197,0,0.0466,0.053,0.94,0.122,0.0386,119.88,4,246.272
6Kryy0BDFtQLRQZl31sPSu,0.12,0.0306,5,-30.798,1,0.0468,0.932,0.942,0.073,0.025,191.841,4,383.513
3yt6lebWxZqZQTdtYmmLvN,0.149,0.0482,5,-15.953,1,0.0474,0.00619,0.904,0.124,0.0224,105.333,5,412.424
2yd9ETb7cW2vb0SwRDlaot,0.404,0.0535,5,-30.703,1,0.181,0.939,0.298,0.0475,0.0977,147.402,4,99.105
3reMA9dO9GXNlG9RDjkITL,0.532,0.328,5,-27.168,1,0.0426,0.529,0.808,0.112,0.0344,120.012,3,414.896
3uPB63FBosqBVHolyToCqp,0.118,0.0284,4,-30.395,1,0.0404,0.724,0.97,0.111,0.0277,67.22,3,272.91
40V3wJuUYpCDSjY8wKOP92,0.435,0.17,9,-23.081,0,0.0393,0.966,0.763,0.0845,0.303,96.017,4,113.193
3CU97aGUQH8Kc46Fbuc2be,0.162,0.0872,9,-18.7,0,0.0333,0.452,0.95,0.102,0.0348,71.15,4,107.767
6CYgAIHRRDEJmOfEOj7fW4,0.119,0.0231,5,-23.521,1,0.0483,0.866,0.944,0.371,0.0268,96.052,3,461.269
0I0lodWcHxJUvU9Norz7ZL,0.247,0.108,0,-14.97,1,0.0394,0.184,0.915,0.0511,0.0257,59.452,4,402.202
6rDYKHBFzhpD1epBImBRB0,0.433,0.258,0,-18.526,1,0.0425,0.25,0.886,0.228,0.0398,119.99,4,506.876
7lSoQ4jDIP6sTyzrMMe2Ex,0.251,0.00342,9,-38.794,0,0.0433,0.919,0.0255,0.117,0.0504,119.997,3,152.673
6NNW7XLQ5BecXtPumwkPd5,0.167,0.122,4,-23.045,0,0.0456,0.964,0.655,0.102,0.0297,129.618,3,341.396
4BvjHosOH8UhWloGmoMTAC,0.0835,0.0284,5,-35.18,1,0.07,0.0561,0.957,0.267,0.0306,166.916,1,235.838
26F1AcqBkw4UsEsREZgYrP,0.168,0.402,7,-13.987,1,0.0565,0.505,0.92,0.107,0.0297,126.058,5,370.52
77ate9hol7xUp7sAYWQYh3,0.13,0.501,9,-15.668,1,0.0952,0.808,0.892,0.0801,0.0379,216.222,4,304.059
4NPpAWhPXdkBetUuzDDtSa,0.232,0.18,0,-22.309,1,0.0347,0.943,0.892,0.0547,0.0541,167.287,3,99.985
6r0ROpKzqn3C6auLodLTgG,0.21,0.302,0,-11.596,0,0.034,0.873,0.887,0.0875,0.0458,126.739,5,185.249
4Mh5JXQQDDwQMtE7nmoBNV,0.51,0.275,5,-15.009,1,0.0288,0.384,0.955,0.111,0.476,125.05,3,74.805
32QLeZUAT3DjFbPNjJvmMq,0.577,0.29,10,-14.701,1,0.0315,0.77,0.846,0.113,0.298,120.027,3,104.095
